age,sex,DR,f,i,prev,r
35,female,0.190809555,0.000185192,0.001028539,0.010411835,0
35,male,0.134916409,0.000130619,0.001200553,0.014768175,0
36,female,0.190809555,0.000183121,0.001101953,0.011463351,0
36,male,0.134916409,0.000131743,0.001258666,0.0159766,0
37,female,0.190809555,0.000183942,0.00118135,0.012588996,0
37,male,0.134916409,0.000134695,0.001316359,0.017240202,0
38,female,0.190809555,0.000193585,0.001264149,0.01379305,0
38,male,0.134916409,0.000142973,0.001372567,0.018557747,0
39,female,0.190809555,0.000212049,0.001350351,0.015078421,0
39,male,0.134916409,0.000156578,0.001427292,0.019927431,0
40,female,0.190809555,0.000239334,0.001439955,0.016447943,0
40,male,0.134916409,0.000175509,0.001480532,0.021347425,0
41,female,0.190809555,0.00027544,0.001532961,0.017904372,0
41,male,0.134916409,0.000199767,0.001532288,0.022815882,0
42,female,0.190809555,0.000320367,0.00162937,0.019450375,0
42,male,0.134916409,0.000229351,0.00158256,0.024330928,0
43,female,0.190809555,0.000367978,0.001736472,0.021092157,0
43,male,0.134916409,0.000262038,0.001648751,0.025899167,0
44,female,0.190809555,0.000409453,0.001850865,0.022837874,0
44,male,0.134916409,0.000292501,0.001732344,0.027536419,0
45,female,0.104870094,0.000444791,0.00197255,0.024694019,0
45,male,0.096024746,0.000320741,0.001833339,0.029259165,0
46,female,0.104870094,0.000473992,0.002101526,0.026667013,0
46,male,0.096024746,0.000346756,0.001951736,0.031083743,0
47,female,0.104870094,0.000497057,0.002237793,0.028763202,0
47,male,0.096024746,0.000370548,0.002087536,0.033026338,0
48,female,0.104870094,0.000513985,0.002381351,0.030988847,0
48,male,0.096024746,0.000392117,0.002240738,0.03510296,0
49,female,0.104870094,0.000548852,0.002530413,0.033348873,0
49,male,0.096024746,0.000421712,0.002417324,0.037332114,0
50,female,0.104870094,0.000607794,0.002677688,0.035843177,0
50,male,0.096024746,0.000461557,0.002599892,0.039726317,0
51,female,0.104870094,0.000690811,0.002823176,0.038467807,0
51,male,0.096024746,0.000511653,0.002788441,0.042289401,0
52,female,0.104870094,0.000797904,0.002966877,0.041218593,0
52,male,0.096024746,0.000572,0.002982972,0.045024957,0
53,female,0.104870094,0.000929073,0.003108791,0.04409113,0
53,male,0.096024746,0.000642598,0.003183484,0.047936323,0
54,female,0.104870094,0.001084317,0.003248917,0.047080773,0
54,male,0.096024746,0.000723445,0.003389978,0.051026564,0
55,female,0.101947412,0.001293094,0.003389213,0.050182861,0
55,male,0.096929118,0.000854444,0.003616161,0.0543039,0
56,female,0.101947412,0.001531329,0.003531465,0.053394026,0
56,male,0.096929118,0.001025344,0.00385605,0.057778888,0
57,female,0.101947412,0.001799021,0.003675674,0.056711906,0
57,male,0.096929118,0.001236144,0.004109646,0.061458727,0
58,female,0.101947412,0.002096171,0.003821839,0.06013378,0
58,male,0.096929118,0.001486845,0.004376949,0.065349828,0
59,female,0.101947412,0.002422778,0.003969961,0.063656555,0
59,male,0.096929118,0.001777446,0.004657958,0.069457749,0
60,female,0.101947412,0.002778843,0.004120039,0.067276769,0
60,male,0.096929118,0.002107947,0.004952674,0.073787143,0
61,female,0.101947412,0.003152471,0.004275182,0.070992416,0
61,male,0.096929118,0.00247843,0.005276814,0.078348928,0
62,female,0.101947412,0.003514204,0.004433433,0.074803086,0
62,male,0.096929118,0.002848995,0.00561667,0.083155314,0
63,female,0.101947412,0.003864043,0.004594792,0.078708321,0
63,male,0.096929118,0.00321964,0.005972243,0.088212725,0
64,female,0.101947412,0.004201986,0.00475926,0.08270765,0
64,male,0.096929118,0.003590367,0.006343533,0.093526889,0
65,female,0.109681273,0.004528035,0.004926837,0.086800605,0
65,male,0.110296142,0.003961175,0.006730539,0.099102817,0
66,female,0.109681273,0.004842189,0.005097521,0.09098672,0
66,male,0.110296142,0.004332064,0.007133261,0.104944785,0
67,female,0.109681273,0.005233967,0.005265094,0.095258892,0
67,male,0.110296142,0.004787842,0.00753445,0.111044507,0
68,female,0.109681273,0.005715265,0.005426446,0.099601115,0
68,male,0.110296142,0.005328427,0.007918386,0.117373937,0
69,female,0.109681273,0.006286081,0.005581576,0.103994755,0
69,male,0.110296142,0.005953819,0.008285072,0.123897018,0
70,female,0.109681273,0.006946417,0.005730487,0.108420493,0
70,male,0.110296142,0.006664018,0.008634506,0.130576922,0
71,female,0.109681273,0.007696271,0.005873176,0.11285838,0
71,male,0.110296142,0.007459024,0.008966689,0.137376176,0
72,female,0.109681273,0.008535645,0.006009645,0.117287905,0
72,male,0.110296142,0.008338837,0.009281621,0.14425682,0
73,female,0.109681273,0.009460278,0.006128752,0.121683448,0
73,male,0.110296142,0.009353238,0.009562094,0.15117014,0
74,female,0.109681273,0.010380652,0.006236716,0.126022128,0
74,male,0.110296142,0.010417419,0.00982536,0.158069702,0
75,female,0.111680374,0.011296766,0.00633354,0.130288962,0
75,male,0.109314458,0.01153138,0.010071419,0.164922148,0
76,female,0.111680374,0.01220862,0.006419221,0.134469607,0
76,male,0.109314458,0.012695121,0.01030027,0.171694761,0
77,female,0.111680374,0.013116215,0.006493761,0.138550379,0
77,male,0.109314458,0.013908643,0.010511914,0.178355587,0
78,female,0.111680374,0.01401955,0.006557159,0.142518259,0
78,male,0.109314458,0.015171944,0.01070635,0.184873548,0
79,female,0.111680374,0.014926476,0.006598352,0.146355737,0
79,male,0.109314458,0.016601001,0.010855273,0.191198333,0
80,female,0.111680374,0.015841251,0.006628483,0.150045347,0
80,male,0.109314458,0.018146032,0.010975889,0.197271314,0
81,female,0.111680374,0.016763877,0.006647552,0.153574812,0
81,male,0.109314458,0.019807036,0.011068198,0.203045864,0
82,female,0.111680374,0.017694352,0.006655557,0.156932469,0
82,male,0.109314458,0.021584016,0.0111322,0.208476729,0
83,female,0.111680374,0.018632677,0.0066525,0.16010726,0
83,male,0.109314458,0.023476969,0.011167896,0.21352022,0
84,female,0.111680374,0.019578852,0.006638381,0.163088738,0
84,male,0.109314458,0.025485897,0.011175285,0.218134387,0
85,female,0.102446594,0.020692387,0.006602096,0.165851557,0
85,male,0.109557927,0.027762359,0.01113236,0.222257848,0
86,female,0.102446594,0.021965431,0.00655471,0.168360531,0
86,male,0.109557927,0.030190382,0.01106743,0.225830955,0
87,female,0.102446594,0.023397986,0.006496223,0.170586101,0
87,male,0.109557927,0.032769965,0.010980493,0.228817417,0
88,female,0.102446594,0.02499005,0.006426633,0.172499337,0
88,male,0.109557927,0.035501108,0.010871549,0.231183408,0
89,female,0.102446594,0.026741625,0.006345942,0.174072178,0
89,male,0.109557927,0.038383811,0.010740599,0.232897847,0
90,female,0.102446594,0.028652709,0.00625415,0.17527769,0
90,male,0.109557927,0.041418075,0.010587643,0.233932682,0
91,female,0.102446594,0.030786762,0.006148117,0.176084535,0
91,male,0.109557927,0.04477571,0.010404429,0.23424504,0
92,female,0.102446594,0.032984274,0.006038945,0.176473284,0
92,male,0.109557927,0.048305154,0.010212966,0.233799642,0
93,female,0.102446594,0.035245245,0.005926636,0.176442359,0
93,male,0.109557927,0.052006409,0.010013251,0.232587761,0
94,female,0.102446594,0.037569675,0.005811187,0.175991841,0
94,male,0.109557927,0.055879475,0.009805286,0.23060529,0
95,female,0.102446594,0.039957564,0.005692601,0.17512356,0
95,male,0.109557927,0.05992435,0.00958907,0.227853239,0
96,female,0.102446594,0.042408912,0.005570876,0.17384117,0
96,male,0.109557927,0.064141036,0.009364604,0.224338245,0
97,female,0.102446594,0.044564461,0.00546385,0.172182493,0
97,male,0.109557927,0.067902605,0.009165133,0.220137647,0
98,female,0.102446594,0.046935565,0.005346122,0.170172405,0
98,male,0.109557927,0.07204033,0.008945714,0.215310655,0
99,female,0.102446594,0.049115166,0.005237274,0.167826736,0
99,male,0.109557927,0.075844178,0.008741503,0.20991263,0
100,female,0.102446594,0.049115166,0.005237274,0.167826736,0
100,male,0.109557927,0.075844178,0.008741503,0.20991263,0
101,female,0.102446594,0.049115166,0.005237274,0.167826736,0
101,male,0.109557927,0.075844178,0.008741503,0.20991263,0
102,female,0.102446594,0.049115166,0.005237274,0.167826736,0
102,male,0.109557927,0.075844178,0.008741503,0.20991263,0
103,female,0.102446594,0.049115166,0.005237274,0.167826736,0
103,male,0.109557927,0.075844178,0.008741503,0.20991263,0
104,female,0.102446594,0.049115166,0.005237274,0.167826736,0
104,male,0.109557927,0.075844178,0.008741503,0.20991263,0
105,female,0.102446594,0.049115166,0.005237274,0.167826736,0
105,male,0.109557927,0.075844178,0.008741503,0.20991263,0
106,female,0.102446594,0.049115166,0.005237274,0.167826736,0
106,male,0.109557927,0.075844178,0.008741503,0.20991263,0
107,female,0.102446594,0.049115166,0.005237274,0.167826736,0
107,male,0.109557927,0.075844178,0.008741503,0.20991263,0
108,female,0.102446594,0.049115166,0.005237274,0.167826736,0
108,male,0.109557927,0.075844178,0.008741503,0.20991263,0
109,female,0.102446594,0.049115166,0.005237274,0.167826736,0
109,male,0.109557927,0.075844178,0.008741503,0.20991263,0
110,female,0.102446594,0.049115166,0.005237274,0.167826736,0
110,male,0.109557927,0.075844178,0.008741503,0.20991263,0
