age,sex,DR,f,i,prev,r,,,age,sex,DR,f,i,prev,r,,,DR,f,i,prev
18,female,0.190809555,0.028797609,0.000205948,0.001184202,0,,,18,female,0.075734102,3.83622E-07,0.000209894,0.002644712,0,,,2.519466798,75067.69753,0.98119884,0.447762142
18,male,0.134916409,0.000006143,0.000330845,0.002125906,0,,,18,male,0.060430607,3.73255E-07,0.00020933,0.002580591,0,,,2.232584034,16.45793912,1.580498469,0.823805801
19,female,0.190809555,0.020571475,0.00023534,0.001373407,0,,,19,female,0.075734102,3.83622E-07,0.000209894,0.002644712,0,,,2.519466798,53624.3569,1.121231258,0.519303008
19,male,0.134916409,0.000006142,0.000376059,0.002478512,0,,,19,male,0.060430607,3.73255E-07,0.00020933,0.002580591,0,,,2.232584034,16.45525998,1.796492841,0.960443483
20,female,0.190809555,0.013716364,0.000266425,0.001598845,0,,,20,female,0.074495703,5.64759E-07,0.000295451,0.003940226,0,,,2.561349801,24287.09159,0.90175626,0.405774907
20,male,0.134916409,0.000006141,0.000422273,0.002876572,0,,,20,male,0.058651666,5.75992E-07,0.000297217,0.0038798,0,,,2.300299702,10.66161567,1.42075725,0.741422773
21,female,0.190809555,0.008232274,0.000299204,0.001862555,0,,,21,female,0.074495703,5.64759E-07,0.000295451,0.003940226,0,,,2.561349801,14576.603,1.012701811,0.472702533
21,male,0.134916409,0.000006141,0.000469485,0.003321025,0,,,21,male,0.058651666,5.75992E-07,0.000297217,0.0038798,0,,,2.300299702,10.66161567,1.579604231,0.855978424
22,female,0.190809555,0.004119207,0.000333678,0.002166238,0,,,22,female,0.074495703,5.64759E-07,0.000295451,0.003940226,0,,,2.561349801,7293.737441,1.12938435,0.549775008
22,male,0.134916409,0.00000614,0.000517696,0.003812805,0,,,22,male,0.058651666,5.75992E-07,0.000297217,0.0038798,0,,,2.300299702,10.65987953,1.741812394,0.982732383
23,female,0.190809555,0.001377163,0.000369845,0.002510983,0,,,23,female,0.074495703,5.64759E-07,0.000295451,0.003940226,0,,,2.561349801,2438.494918,1.251797106,0.637268711
23,male,0.134916409,0.000006141,0.000566906,0.004352835,0,,,23,male,0.058651666,5.75992E-07,0.000297217,0.0038798,0,,,2.300299702,10.66161567,1.90738174,1.121922552
24,female,0.190809555,0.00000614,0.000407706,0.002896954,0,,,24,female,0.074495703,5.64759E-07,0.000295451,0.003940226,0,,,2.561349801,10.87188575,1.379943465,0.735225265
24,male,0.134916409,0.000006141,0.000617114,0.00494203,0,,,24,male,0.058651666,5.75992E-07,0.000297217,0.0038798,0,,,2.300299702,10.66161567,2.076308903,1.273784765
25,female,0.190809555,0.000010925,0.000449887,0.003324366,0,,,25,female,0.07406486,8.01804E-07,0.000340429,0.005529508,0,,,2.576249441,13.62552699,1.321528797,0.601204697
25,male,0.134916409,0.000009301,0.000668397,0.005581322,0,,,25,male,0.059372427,6.79275E-07,0.000343589,0.005481281,0,,,2.272374814,13.69254206,1.945338129,1.018251353
26,female,0.190809555,0.000020495,0.000494693,0.003794891,0,,,26,female,0.07406486,8.01804E-07,0.000340429,0.005529508,0,,,2.576249441,25.56111448,1.453145002,0.686298168
26,male,0.134916409,0.000015622,0.000719755,0.006271162,0,,,26,male,0.059372427,6.79275E-07,0.000343589,0.005481281,0,,,2.272374814,22.99805312,2.09481318,1.144105141
