age,sex,mortality per 1 rate,$/notlastyr,$/lastyr,pYLD rate,APC in all-cause mortality
27,male,0.000764133,758.2745204,13581.14514,0.12515628,-0.0266087
28,female,0.000312708,1382.28115,20782.21779,0.10738447,-0.0266087
28,male,0.000792921,758.2745204,13581.14514,0.12515628,-0.0266087
29,female,0.000332045,1382.28115,20782.21779,0.10738447,-0.0266087
29,male,0.000822793,758.2745204,13581.14514,0.12515628,-0.0266087
30,female,0.000350696,1558.634259,23283.84908,0.11474399,-0.0202499
30,male,0.000851443,822.8891357,14102.76541,0.12975875,-0.0202499
31,female,0.000372382,1558.634259,23283.84908,0.11474399,-0.0202499
31,male,0.00088352,822.8891357,14102.76541,0.12975875,-0.0202499
32,female,0.000395409,1558.634259,23283.84908,0.11474399,-0.0202499
32,male,0.000916805,822.8891357,14102.76541,0.12975875,-0.0202499
33,female,0.000430305,1558.634259,23283.84908,0.11474399,-0.0202499
33,male,0.00096172,822.8891357,14102.76541,0.12975875,-0.0202499
34,female,0.00046828,1558.634259,23283.84908,0.11474399,-0.0202499
34,male,0.001008835,822.8891357,14102.76541,0.12975875,-0.0202499
35,female,0.000522348,1461.330774,27707.2919,0.12111489,-0.0137191
35,male,0.001056001,900.273102,13426.792,0.13741888,-0.0137191
36,female,0.000568447,1461.330774,27707.2919,0.12111489,-0.0137191
36,male,0.001107735,900.273102,13426.792,0.13741888,-0.0137191
37,female,0.000618613,1461.330774,27707.2919,0.12111489,-0.0137191
37,male,0.001162004,900.273102,13426.792,0.13741888,-0.0137191
38,female,0.000666032,1461.330774,27707.2919,0.12111489,-0.0137191
38,male,0.001241113,900.273102,13426.792,0.13741888,-0.0137191
39,female,0.000717085,1461.330774,27707.2919,0.12111489,-0.0137191
39,male,0.001325606,900.273102,13426.792,0.13741888,-0.0137191
40,female,0.000754622,1283.583569,30228.92113,0.1266119,-0.0097966
40,male,0.001418981,1031.402867,18379.09129,0.14456692,-0.0097966
41,female,0.000812466,1283.583569,30228.92113,0.1266119,-0.0097966
41,male,0.001515584,1031.402867,18379.09129,0.14456692,-0.0097966
42,female,0.000874744,1283.583569,30228.92113,0.1266119,-0.0097966
42,male,0.001618764,1031.402867,18379.09129,0.14456692,-0.0097966
43,female,0.000956311,1283.583569,30228.92113,0.1266119,-0.0097966
43,male,0.001736238,1031.402867,18379.09129,0.14456692,-0.0097966
44,female,0.001045484,1283.583569,30228.92113,0.1266119,-0.0097966
44,male,0.001862237,1031.402867,18379.09129,0.14456692,-0.0097966
45,female,0.00116575,1394.562817,27701.06087,0.1343101,-0.0110928
45,male,0.001997097,1209.186717,22080.06473,0.15214568,-0.0110928
46,female,0.001274453,1394.562817,27701.06087,0.1343101,-0.0110928
46,male,0.002142027,1209.186717,22080.06473,0.15214568,-0.0110928
47,female,0.001393291,1394.562817,27701.06087,0.1343101,-0.0110928
47,male,0.002297474,1209.186717,22080.06473,0.15214568,-0.0110928
48,female,0.001513771,1394.562817,27701.06087,0.1343101,-0.0110928
48,male,0.002493648,1209.186717,22080.06473,0.15214568,-0.0110928
49,female,0.001644669,1394.562817,27701.06087,0.1343101,-0.0110928
49,male,0.002706571,1209.186717,22080.06473,0.15214568,-0.0110928
50,female,0.001774398,1551.352243,28956.4421,0.14447775,-0.0163658
50,male,0.002931452,1400.233895,24980.6078,0.15627238,-0.0163658
51,female,0.001927833,1551.352243,28956.4421,0.14447775,-0.0163658
51,male,0.003181758,1400.233895,24980.6078,0.15627238,-0.0163658
52,female,0.002094535,1551.352243,28956.4421,0.14447775,-0.0163658
52,male,0.003453438,1400.233895,24980.6078,0.15627238,-0.0163658
53,female,0.002266117,1551.352243,28956.4421,0.14447775,-0.0163658
53,male,0.003761463,1400.233895,24980.6078,0.15627238,-0.0163658
54,female,0.002451755,1551.352243,28956.4421,0.14447775,-0.0163658
54,male,0.00409696,1400.233895,24980.6078,0.15627238,-0.0163658
55,female,0.002653517,1757.883865,30064.11242,0.15894447,-0.0223665
55,male,0.004498899,1679.577994,27020.31377,0.16396677,-0.0223665
56,female,0.00287089,1757.883865,30064.11242,0.15894447,-0.0223665
56,male,0.004900171,1679.577994,27020.31377,0.16396677,-0.0223665
57,female,0.00310607,1757.883865,30064.11242,0.15894447,-0.0223665
57,male,0.005337236,1679.577994,27020.31377,0.16396677,-0.0223665
58,female,0.003373171,1757.883865,30064.11242,0.15894447,-0.0223665
58,male,0.005812421,1679.577994,27020.31377,0.16396677,-0.0223665
59,female,0.003663241,1757.883865,30064.11242,0.15894447,-0.0223665
59,male,0.006329915,1679.577994,27020.31377,0.16396677,-0.0223665
60,female,0.003966751,2106.337941,27463.66875,0.17672686,-0.0289072
60,male,0.00686754,2066.974297,26460.91841,0.17822409,-0.0289072
61,female,0.004307863,2106.337941,27463.66875,0.17672686,-0.0289072
61,male,0.007478972,2066.974297,26460.91841,0.17822409,-0.0289072
62,female,0.004678309,2106.337941,27463.66875,0.17672686,-0.0289072
62,male,0.008144842,2066.974297,26460.91841,0.17822409,-0.0289072
63,female,0.005117407,2106.337941,27463.66875,0.17672686,-0.0289072
63,male,0.008912375,2066.974297,26460.91841,0.17822409,-0.0289072
64,female,0.005597713,2106.337941,27463.66875,0.17672686,-0.0289072
64,male,0.009752233,2066.974297,26460.91841,0.17822409,-0.0289072
65,female,0.006078288,2712.832902,28763.94492,0.20068316,-0.0312437
65,male,0.010624229,2771.220048,28734.37279,0.19959103,-0.0312437
66,female,0.006648783,2712.832902,28763.94492,0.20068316,-0.0312437
66,male,0.011625403,2771.220048,28734.37279,0.19959103,-0.0312437
67,female,0.007272824,2712.832902,28763.94492,0.20068316,-0.0312437
67,male,0.012720929,2771.220048,28734.37279,0.19959103,-0.0312437
68,female,0.008089308,2712.832902,28763.94492,0.20068316,-0.0312437
68,male,0.014045659,2771.220048,28734.37279,0.19959103,-0.0312437
69,female,0.008997455,2712.832902,28763.94492,0.20068316,-0.0312437
69,male,0.015508352,2771.220048,28734.37279,0.19959103,-0.0312437
70,female,0.010173099,3209.787323,25110.72028,0.22927743,-0.0302402
70,male,0.017395368,3428.650539,24938.09867,0.22341137,-0.0302402
71,female,0.011315183,3209.787323,25110.72028,0.22927743,-0.0302402
71,male,0.019206889,3428.650539,24938.09867,0.22341137,-0.0302402
72,female,0.012585483,3209.787323,25110.72028,0.22927743,-0.0302402
72,male,0.021207059,3428.650539,24938.09867,0.22341137,-0.0302402
73,female,0.014154693,3209.787323,25110.72028,0.22927743,-0.0302402
73,male,0.023606921,3428.650539,24938.09867,0.22341137,-0.0302402
74,female,0.015919559,3209.787323,25110.72028,0.22927743,-0.0302402
74,male,0.026278354,3428.650539,24938.09867,0.22341137,-0.0302402
75,female,0.017693223,3765.793617,20381.59757,0.26001531,-0.0275585
75,male,0.029040063,4047.415495,22719.8741,0.24856544,-0.0275585
76,female,0.019899283,3765.793617,20381.59757,0.26001531,-0.0275585
76,male,0.032326326,4047.415495,22719.8741,0.24856544,-0.0275585
77,female,0.022380408,3765.793617,20381.59757,0.26001531,-0.0275585
77,male,0.035984483,4047.415495,22719.8741,0.24856544,-0.0275585
78,female,0.025563134,3765.793617,20381.59757,0.26001531,-0.0275585
78,male,0.040482998,4047.415495,22719.8741,0.24856544,-0.0275585
79,female,0.029198477,3765.793617,20381.59757,0.26001531,-0.0275585
79,male,0.045543876,4047.415495,22719.8741,0.24856544,-0.0275585
80,female,0.033660561,4210.289206,15147.24214,0.29749984,-0.0223807
80,male,0.051896475,4497.483443,17493.59036,0.28935686,-0.0223807
81,female,0.03844744,4210.289206,15147.24214,0.29749984,-0.0223807
81,male,0.058384176,4497.483443,17493.59036,0.28935686,-0.0223807
82,female,0.043915067,4210.289206,15147.24214,0.29749984,-0.0223807
82,male,0.065682933,4497.483443,17493.59036,0.28935686,-0.0223807
83,female,0.050439343,4210.289206,15147.24214,0.29749984,-0.0223807
83,male,0.073876835,4497.483443,17493.59036,0.28935686,-0.0223807
84,female,0.057932891,4210.289206,15147.24214,0.29749984,-0.0223807
84,male,0.083092935,4497.483443,17493.59036,0.28935686,-0.0223807
85,female,0.067735195,4608.316346,11320.11624,0.34270281,-0.0144256
85,male,0.095388182,4939.089123,15118.27382,0.33780372,-0.0144256
86,female,0.077798307,4608.316346,11320.11624,0.34270281,-0.0144256
86,male,0.10728779,4939.089123,15118.27382,0.33780372,-0.0144256
87,female,0.089356475,4608.316346,11320.11624,0.34270281,-0.0144256
87,male,0.12067186,4939.089123,15118.27382,0.33780372,-0.0144256
88,female,0.10089985,4608.316346,11320.11624,0.34270281,-0.0144256
88,male,0.13236964,4939.089123,15118.27382,0.33780372,-0.0144256
89,female,0.11393447,4608.316346,11320.11624,0.34270281,-0.0144256
89,male,0.14520134,4939.089123,15118.27382,0.33780372,-0.0144256
90,female,0.12994754,4703.298246,7926.430284,0.38880304,-0.0120951
90,male,0.15932468,5150.759332,11273.88191,0.38700405,-0.0120951
91,female,0.14673464,4703.298246,7926.430284,0.38880304,-0.0120951
91,male,0.1747694,5150.759332,11273.88191,0.38700405,-0.0120951
92,female,0.16569035,4703.298246,7926.430284,0.38880304,-0.0120951
92,male,0.19171129,5150.759332,11273.88191,0.38700405,-0.0120951
93,female,0.18827522,4703.298246,7926.430284,0.38880304,-0.0120951
93,male,0.21180044,5150.759332,11273.88191,0.38700405,-0.0120951
94,female,0.21393858,4703.298246,7926.430284,0.38880304,-0.0120951
94,male,0.23399462,5150.759332,11273.88191,0.38700405,-0.0120951
95,female,0.23081397,4114.707137,4912.182254,0.4300088,-0.0084511
95,male,0.24377872,4949.83246,8076.668208,0.43510538,-0.0084511
96,female,0.26227567,4114.707137,4912.182254,0.4300088,-0.0084511
96,male,0.26932386,4949.83246,8076.668208,0.43510538,-0.0084511
97,female,0.29802585,4114.707137,4912.182254,0.4300088,-0.0084511
97,male,0.29754585,4949.83246,8076.668208,0.43510538,-0.0084511
98,female,0.33864909,4114.707137,4912.182254,0.4300088,-0.0084511
98,male,0.32872522,4949.83246,8076.668208,0.43510538,-0.0084511
99,female,0.38480958,4114.707137,4912.182254,0.4300088,-0.0084511
99,male,0.36317176,4949.83246,8076.668208,0.43510538,-0.0084511
100,female,0.43726209,4114.707137,4912.182254,0.4300088,-0.0084511
100,male,0.40122798,4949.83246,8076.668208,0.43510538,-0.0084511
101,female,0.49686429,4114.707137,4912.182254,0.4300088,-0.0084511
101,male,0.44327199,4949.83246,8076.668208,0.43510538,-0.0084511
102,female,0.56459075,4114.707137,4912.182254,0.4300088,-0.0084511
102,male,0.48972175,4949.83246,8076.668208,0.43510538,-0.0084511
103,female,0.64154881,4114.707137,4912.182254,0.4300088,-0.0084511
103,male,0.54103887,4949.83246,8076.668208,0.43510538,-0.0084511
104,female,0.72899681,4114.707137,4912.182254,0.4300088,-0.0084511
104,male,0.59773344,4949.83246,8076.668208,0.43510538,-0.0084511
105,female,0.82836467,4114.707137,4912.182254,0.4300088,-0.0084511
105,male,0.66036898,4949.83246,8076.668208,0.43510538,-0.0084511
106,female,0.94127721,4114.707137,4912.182254,0.4300088,-0.0084511
106,male,0.72956795,4949.83246,8076.668208,0.43510538,-0.0084511
107,female,1.0695806,4114.707137,4912.182254,0.4300088,-0.0084511
107,male,0.80601817,4949.83246,8076.668208,0.43510538,-0.0084511
108,female,1.2153727,4114.707137,4912.182254,0.4300088,-0.0084511
108,male,0.89047951,4949.83246,8076.668208,0.43510538,-0.0084511
109,female,1.3810374,4114.707137,4912.182254,0.4300088,-0.0084511
109,male,0.98379141,4949.83246,8076.668208,0.43510538,-0.0084511
110,female,1.5692832,4114.707137,4912.182254,0.4300088,-0.0084511
110,male,1.0868813,4949.83246,8076.668208,0.43510538,-0.0084511
